"ユーザー名","ユーザーID","画像URL","アカウントURL","アカウント説明文"
"ことばと広告","@kotobatoad","https://pbs.twimg.com/profile_images/1324345446068711425/_WzQ0HUV_x96.jpg","/kotobatoad","文筆家 / コピーライターが気になる本や広告をシェアします。いま、届けたい言葉がある。背中をそっと押すnoteも書いてます。http://note.com/kotobatoad @k_kakubu"
"ハチワレ｜BtoBマーケ×運用型広告","@BtoB_hachiware","https://pbs.twimg.com/profile_images/1428898782293348355/EOTi4-df_x96.jpg","/BtoB_hachiware","アナグラムでマネージャーしてる二平です。得意分野はBtoB。BtoB企業2社でセールス、マーケCSなどの経験と広告運用を掛け合わせて売上を最大化するのが得意。3/22に書籍「BtoBマーケティング“打ち手”大全 広告運用でリード獲得に差をつける 最強の戦略」発売予定。好きなものはハチワレと生クリーム"
"加藤公一レオ@売れるネット広告社 社長","@leokoichikato","https://pbs.twimg.com/profile_images/1537660670287618049/BfC3yQzm_x96.png","/leokoichikato","東証グロース上場『売れるネット広告社』代表取締役社長CEO  三菱商事・HAVAS・ADKでD2Cに従事。広告業界のオリンピック「アドテック」で3年連続人気スピーカー1位。著書『100%確実に売上がアップする最強の仕組み』。D2Cの広告・ランディングページ・経営のノウハウについてにつぶやいています。フォローください"
"web広告やってる人","@webADboy01","https://pbs.twimg.com/profile_images/1658689218636570630/X69xekpg_x96.jpg","/webADboy01","某大手web広告代理店でコンサルやってます｜GYMのリスティングとディスプレイがメイン。Meta･LINE･TikTokも｜web広告や仕事についてXを通して学んでいきたいです｜｢YouTube運用×web広告｣の相乗効果を日々模索中｜広告運用のノウハウはハイライトから"
"広告炎上チェッカー","@EnjoCheck","https://pbs.twimg.com/profile_images/1639162347989377025/TIrZrj-n_x96.jpg","/EnjoCheck","外資で広告コンサル│海外広告も担当│広告倫理の論文執筆│大学院│

広告を分析&改善提案ビジネスと社会に良い広告のあり方を考えています。大学や企業で広告倫理の講演、(月)(木)22:00～は炎上広告代理店を運営しています。"
"滝井秀典｜運用型広告とPRならキーマケ","@hidenoritakii","https://pbs.twimg.com/profile_images/1308246236563009536/-qS4qPKr_x96.jpg","/hidenoritakii","キーワードマーケティング代表。検索広告、運用型広告コンサルティング、リスティング広告、SNS広告、動画広告、LP改善。戦略PR。マネジメント、組織作り、Facebook広告、BtoBマーケ。 筋トレ、ゴルフ、サウナ、ゲーマー、滝井秀典メルマガ登録はこちら https://x.gd/LiGKL"
"加藤誠也 街中広告マニア","@adbrex_","https://pbs.twimg.com/profile_images/1481867090705674240/7FVazuyI_x96.jpg","/adbrex_","マニア注目の屋外広告をほぼ毎日発信。広告を探して街を歩く「広告巡礼」が日課です。ランチしませんか？（プロフィールURLより募集中）"
"広告クリエイティブ学べます","@manaberu_ad","https://pbs.twimg.com/profile_images/1647826958078840835/u7EMC_hg_x96.jpg","/manaberu_ad","広告代理店のコンサルが「学べる広告」をシェア クリエイティブ事例から、広告の戦略・テクニック・デザインと幅広く学べます ""明日から、すぐ使える""をコンセプトに。ご相談・ご依頼はDMまで"
"林明文@Facebook広告教えてます","@akifumihayashi","https://pbs.twimg.com/profile_images/1611492639085596673/Wgo60wi7_x96.jpg","/akifumihayashi","売上につながる本質的なFacebook広告の運用が学べます｜Facebook広告の専門家｜億超えの起業家を9人輩出｜ビジョンは全国47都道府県にFB広告を使える本物のコンサルタントの輩出｜広告を教える事で雇用の創出に貢献する｜大阪でGOODWEB㍿を経営｜読者2万人｜広告アカウントBAN対策の動画をプレゼント中"
"jeki 応援広告事務局 Cheering AD（チアリングアド）","@jeki_ooh","https://pbs.twimg.com/profile_images/1481224345779269633/WbByKcE1_x96.jpg","/jeki_ooh","【応援広告 掲出実績NO.1】ジェイアール東日本企画「Cheering AD（チアリング アド）」です！ 応援広告・センイル広告の掲出をサポートいたします！全国の駅ポスター、屋外ビジョン、付箋広告、様々な広告をスマホから簡単にお申し込みアイドル/俳優/声優/スポーツ他、許可取りもお任せください"
"ありす@web広告で結果を出す人","@htc_carebody","https://pbs.twimg.com/profile_images/1747617251409444864/K__2hurH_x96.jpg","/htc_carebody","リスティング広告、SNS広告運用代行｜マンツーマンサポートで結果を出す人｜上場商社→DXマーケ管理職→コンテンツ販売→webマーケコンサル→Web広告事業｜web広告自社運用実績、他多数｜現在広告運用費用OFFキャンペーン実施中！｜web広告のご相談はDMでどうぞ｜フォローはお気軽に♪"
"山田侑生@広告","@tiktok_ado","https://pbs.twimg.com/profile_images/1682225984018477056/eBjNg8H2_x96.jpg","/tiktok_ado","広告SNS領域でwebマーケをしてる20歳。感情動線を起点にしたsns運用・広告運用が得意です。マーケティング・広告関係の人はフォロー必須"
"かわ｜WEB広告・WEBマーケティング","@kawagongon7710","https://pbs.twimg.com/profile_images/1722621835366547456/xhTNeiFh_x96.jpg","/kawagongon7710","商社→WEBマーケティング｜WEB広告運用｜ブログの実績でWEB業界へ｜2023年度／Google広告活用事例にて最優秀賞を個人受賞(約2000社中)｜SEO可｜MA・SFA支援も｜名古屋のWEBマーケティング会社｜広告代理店やマーケティング担当者の方は繋がりましょう。お仕事関係はDMまで。"
"樋爪康之／運用型広告研究所の人","@yasuyuki_ad","https://pbs.twimg.com/profile_images/1081542738623918080/43ayzALm_x96.jpg","/yasuyuki_ad","運用型広告に関する記事を定期的に書いてます（http://note.com/hizume/）運用型広告10年目-デジタル広告の仕事に夢中-Google/Yahoo!/SNS広告-運用型広告研究所（http://listing.gaprise.com/blog）-株式会社ギャプライズ-発言は個人の見解です"
"LINEヤフー for Business（Yahoo!広告）","@yahoo_marketing","https://pbs.twimg.com/profile_images/1708288399713742848/wqf_Qji5_x96.jpg","/yahoo_marketing","広告主、広告会社・代理店、マーケターの皆さまに、LINEヤフーの広告事業、データマーケティングの最新情報、成功事例、セミナー情報などをお届けします！
マーケターに役立つ記事もピックアップして随時ツイートしています。"
"「広告朝日」編集部","@adv_asahi","https://pbs.twimg.com/profile_images/877337306629259265/_S_GnwUN_x96.jpg","/adv_asahi","コンテンツマーケティングのお役立ちサイト「広告朝日」の公式アカウントです（朝日新聞社メディア事業本部）。朝日新聞や朝日新聞デジタルなどの広告事例、最新トピックス、おすすめコンテンツをつぶやきます。"
"Fan-Uni | センイル広告・応援広告","@Fan_Uni_Japan","https://pbs.twimg.com/profile_images/1538561652941266944/PQYsBbS6_x96.jpg","/Fan_Uni_Japan","センイル広告・応援広告専門Fan-Uniの運営事務局です。ファンの方々の広告出稿をサポートいたします クラウドファンディングも可能！ご相談は公式LINE(https://lin.ee/DNlEFtO)まで 日本語English한국어 街頭ビジョン/ バス停 / 駅構内など。"
"広告炎上チェッカー","@EnjoCheck","https://pbs.twimg.com/profile_images/1639162347989377025/TIrZrj-n_x96.jpg","/EnjoCheck","外資で広告コンサル│海外広告も担当│広告倫理の論文執筆│大学院│

広告を分析&改善提案ビジネスと社会に良い広告のあり方を考えています。大学や企業で広告倫理の講演、(月)(木)22:00～は炎上広告代理店を運営しています。"
"滝井秀典｜運用型広告とPRならキーマケ","@hidenoritakii","https://pbs.twimg.com/profile_images/1308246236563009536/-qS4qPKr_x96.jpg","/hidenoritakii","キーワードマーケティング代表。検索広告、運用型広告コンサルティング、リスティング広告、SNS広告、動画広告、LP改善。戦略PR。マネジメント、組織作り、Facebook広告、BtoBマーケ。 筋トレ、ゴルフ、サウナ、ゲーマー、滝井秀典メルマガ登録はこちら https://x.gd/LiGKL"
"加藤誠也 街中広告マニア","@adbrex_","https://pbs.twimg.com/profile_images/1481867090705674240/7FVazuyI_x96.jpg","/adbrex_","マニア注目の屋外広告をほぼ毎日発信。広告を探して街を歩く「広告巡礼」が日課です。ランチしませんか？（プロフィールURLより募集中）"
"広告クリエイティブ学べます","@manaberu_ad","https://pbs.twimg.com/profile_images/1647826958078840835/u7EMC_hg_x96.jpg","/manaberu_ad","広告代理店のコンサルが「学べる広告」をシェア クリエイティブ事例から、広告の戦略・テクニック・デザインと幅広く学べます ""明日から、すぐ使える""をコンセプトに。ご相談・ご依頼はDMまで"
"林明文@Facebook広告教えてます","@akifumihayashi","https://pbs.twimg.com/profile_images/1611492639085596673/Wgo60wi7_x96.jpg","/akifumihayashi","売上につながる本質的なFacebook広告の運用が学べます｜Facebook広告の専門家｜億超えの起業家を9人輩出｜ビジョンは全国47都道府県にFB広告を使える本物のコンサルタントの輩出｜広告を教える事で雇用の創出に貢献する｜大阪でGOODWEB㍿を経営｜読者2万人｜広告アカウントBAN対策の動画をプレゼント中"
"jeki 応援広告事務局 Cheering AD（チアリングアド）","@jeki_ooh","https://pbs.twimg.com/profile_images/1481224345779269633/WbByKcE1_x96.jpg","/jeki_ooh","【応援広告 掲出実績NO.1】ジェイアール東日本企画「Cheering AD（チアリング アド）」です！ 応援広告・センイル広告の掲出をサポートいたします！全国の駅ポスター、屋外ビジョン、付箋広告、様々な広告をスマホから簡単にお申し込みアイドル/俳優/声優/スポーツ他、許可取りもお任せください"
"ありす@web広告で結果を出す人","@htc_carebody","https://pbs.twimg.com/profile_images/1747617251409444864/K__2hurH_x96.jpg","/htc_carebody","リスティング広告、SNS広告運用代行｜マンツーマンサポートで結果を出す人｜上場商社→DXマーケ管理職→コンテンツ販売→webマーケコンサル→Web広告事業｜web広告自社運用実績、他多数｜現在広告運用費用OFFキャンペーン実施中！｜web広告のご相談はDMでどうぞ｜フォローはお気軽に♪"
"山田侑生@広告","@tiktok_ado","https://pbs.twimg.com/profile_images/1682225984018477056/eBjNg8H2_x96.jpg","/tiktok_ado","広告SNS領域でwebマーケをしてる20歳。感情動線を起点にしたsns運用・広告運用が得意です。マーケティング・広告関係の人はフォロー必須"
"かわ｜WEB広告・WEBマーケティング","@kawagongon7710","https://pbs.twimg.com/profile_images/1722621835366547456/xhTNeiFh_x96.jpg","/kawagongon7710","商社→WEBマーケティング｜WEB広告運用｜ブログの実績でWEB業界へ｜2023年度／Google広告活用事例にて最優秀賞を個人受賞(約2000社中)｜SEO可｜MA・SFA支援も｜名古屋のWEBマーケティング会社｜広告代理店やマーケティング担当者の方は繋がりましょう。お仕事関係はDMまで。"
